v0,v1,v2,v3
1.547268,-0.000057,1.546645,-0.000053
1.542105,-0.000067,1.541456,-0.000048
1.542569,-0.000062,1.542103,-0.000069
1.545016,-0.000051,1.544515,-0.000065
1.546174,-0.000068,1.545656,-0.000052
1.548146,-0.000075,1.547671,-0.000086
1.548675,-0.000053,1.548150,-0.000043
1.546751,-0.000070,1.546176,-0.000037
1.544022,-0.000077,1.543470,-0.000057
1.544172,-0.000055,1.543696,-0.000052
1.546802,-0.000054,1.546334,-0.000053
1.548421,-0.000057,1.547908,-0.000052
1.545842,-0.000070,1.545261,-0.000068
1.544849,-0.000069,1.544343,-0.000053
1.545688,-0.000055,1.545153,-0.000053
1.543622,-0.000061,1.543089,-0.000048
1.545688,-0.000078,1.545292,-0.000054
1.549133,-0.000071,1.548624,-0.000059
1.547232,-0.000053,1.546613,-0.000044
1.544259,-0.000061,1.543675,-0.000053
1.546875,-0.000062,1.546383,-0.000057
1.546876,-0.000061,1.546290,-0.000056
1.543480,-0.000073,1.542854,-0.000049
1.547052,-0.000039,1.546678,-0.000070
1.549654,-0.000053,1.549164,-0.000048
1.544704,-0.000072,1.544008,-0.000040
1.542921,-0.000055,1.542435,-0.000063
1.547280,-0.000065,1.546791,-0.000056
1.544058,-0.000056,1.543390,-0.000075
1.543170,-0.000072,1.542708,-0.000058
1.550216,-0.000042,1.549822,-0.000064
1.548246,-0.000037,1.547562,-0.000062
1.543499,-0.000076,1.542906,-0.000050
1.546688,-0.000055,1.546286,-0.000074
1.547842,-0.000070,1.547280,-0.000049
1.543617,-0.000060,1.543043,-0.000050
1.546343,-0.000053,1.545915,-0.000060
1.549456,-0.000083,1.548968,-0.000051
1.544766,-0.000057,1.544109,-0.000057
1.542279,-0.000061,1.541744,-0.000062
1.546186,-0.000074,1.545783,-0.000055
1.546713,-0.000064,1.546144,-0.000047
1.545645,-0.000070,1.545139,-0.000063
1.549260,-0.000060,1.548835,-0.000057
1.548320,-0.000058,1.547697,-0.000051
1.543247,-0.000065,1.542593,-0.000059
1.543680,-0.000079,1.543256,-0.000057
1.548015,-0.000067,1.547559,-0.000052
1.547677,-0.000045,1.547138,-0.000046
1.547293,-0.000055,1.546803,-0.000047
1.546852,-0.000060,1.546280,-0.000042
1.545086,-0.000072,1.544529,-0.000059
1.543956,-0.000066,1.543388,-0.000052
1.544440,-0.000051,1.544007,-0.000044
1.548714,-0.000060,1.548314,-0.000063
1.548706,-0.000056,1.548150,-0.000051
1.545958,-0.000057,1.545346,-0.000060
1.546141,-0.000082,1.545631,-0.000055
1.546742,-0.000068,1.546257,-0.000058
1.543893,-0.000057,1.543298,-0.000069
1.546042,-0.000049,1.545688,-0.000058
1.550677,-0.000051,1.550217,-0.000073
1.546000,-0.000061,1.545271,-0.000055
1.542413,-0.000046,1.541854,-0.000053
1.545179,-0.000056,1.544758,-0.000051
1.545521,-0.000063,1.544970,-0.000033
1.543462,-0.000066,1.542939,-0.000073
1.548734,-0.000057,1.548365,-0.000064
1.550320,-0.000055,1.549776,-0.000053
1.543739,-0.000058,1.543126,-0.000076
1.544855,-0.000061,1.544402,-0.000068
1.547859,-0.000062,1.547359,-0.000058
1.544351,-0.000063,1.543678,-0.000055
1.544891,-0.000075,1.544450,-0.000063
1.550375,-0.000045,1.549976,-0.000054
1.547569,-0.000057,1.546919,-0.000050
1.543031,-0.000071,1.542442,-0.000059
1.545499,-0.000063,1.545015,-0.000053
1.546597,-0.000070,1.546090,-0.000060
1.545637,-0.000062,1.545073,-0.000048
1.549318,-0.000060,1.548850,-0.000066
1.550589,-0.000038,1.550005,-0.000069
1.544969,-0.000045,1.544299,-0.000044
1.543603,-0.000065,1.543171,-0.000059
1.546936,-0.000056,1.546504,-0.000047
1.547208,-0.000058,1.546647,-0.000061
1.547570,-0.000060,1.547058,-0.000070
1.549003,-0.000047,1.548478,-0.000052
1.545862,-0.000043,1.545229,-0.000058
1.543286,-0.000059,1.542709,-0.000046
1.544485,-0.000053,1.543952,-0.000038
1.546674,-0.000073,1.546154,-0.000045
1.549287,-0.000079,1.548817,-0.000074
1.548730,-0.000058,1.548155,-0.000080
1.546753,-0.000059,1.546181,-0.000051
1.546083,-0.000050,1.545514,-0.000057
1.544937,-0.000061,1.544343,-0.000058
1.545218,-0.000053,1.544769,-0.000063
1.549086,-0.000074,1.548680,-0.000045
1.548935,-0.000068,1.548345,-0.000042
1.544214,-0.000046,1.543550,-0.000078
1.544596,-0.000080,1.544132,-0.000055
1.545512,-0.000060,1.544988,-0.000046
1.543958,-0.000061,1.543372,-0.000054
1.546457,-0.000062,1.546053,-0.000072
1.551286,-0.000051,1.550823,-0.000072
1.548356,-0.000057,1.547698,-0.000042
1.544478,-0.000039,1.543906,-0.000061
1.547438,-0.000064,1.546953,-0.000064
1.545977,-0.000056,1.545375,-0.000052
1.543638,-0.000050,1.543108,-0.000043
1.548720,-0.000071,1.548334,-0.000063
1.550260,-0.000058,1.549678,-0.000070
1.543777,-0.000063,1.543097,-0.000044
1.544023,-0.000063,1.543582,-0.000063
1.546842,-0.000062,1.546323,-0.000057
1.544046,-0.000065,1.543459,-0.000049
1.546272,-0.000053,1.545850,-0.000060
1.551396,-0.000051,1.550976,-0.000058
1.548736,-0.000051,1.548113,-0.000065
1.543754,-0.000054,1.543129,-0.000044
1.545965,-0.000062,1.545544,-0.000060
1.547131,-0.000070,1.546609,-0.000073
1.545858,-0.000068,1.545316,-0.000045
1.548241,-0.000057,1.547782,-0.000050
